# m1        m2     ISCO_orbital_frequency
0.18016866509721463 0.7206746603888586 113.803
0.24022488679628617 0.9608995471851449 173.959
0.30028110849535783 1.201124433981431 215.683
0.1643751829517226 0.3287503659034452 118.842
0.24656277442758384 0.49312554885516774 181.157
0.3287503659034452 0.6575007318068904 246.607
0.4109379573793065 0.8218759147586129 284.289
0.6164069360689597 1.2328138721379194 400.064 
0.19937105672354638 0.26582807563139516 146.306
0.2990565850853195 0.39874211344709265 226.885 
0.39874211344709276 0.5316561512627903 283.661
0.4984276418088659 0.6645701890784877 334.835 
0.7476414627132988 0.9968552836177318 440.87
0.9968552836177318 1.3291403781569755 527.107
0.229739670999407 0.229739670999407 179.509 
0.3446095064991105 0.3446095064991105 260.432
0.459479341998814 0.459479341998814 332.296
0.5743491774985175 0.5743491774985175 408.7
0.8615237662477763 0.8615237662477763 504.296
1.148698354997035 1.148698354997035 590.044
0.12 0.12 34.4474
0.2 0.2 127.67 
0.3 0.3 210.101
0.4 0.4 273.941
0.5 0.5 317.025
0.6 0.6 369.267
0.7 0.7 403.016
0.8 0.8 447.531
0.9 0.9 480.32
1.0 1.0 486.667
1.1 1.1 516.165
1.35 1.35 613
0.57 0.76 349.148
0.69 0.92 396.491
0.87 1.16 455.266 
0.48 0.96 313.179
0.55 1.1 309.647
0.12 0.48 31.7029
0.13 1.3 41.8349 
