# m1        m2     ISCO_fgw
0.18016866509721463 0.7206746603888586 127.163 
0.24022488679628617 0.9608995471851449 171.672
0.30028110849535783 1.201124433981431 207.75
0.1643751829517226 0.3287503659034452 118.063
0.24656277442758384 0.49312554885516774 182.323
0.3287503659034452 0.6575007318068904 239.127
0.4109379573793065 0.8218759147586129 275.2
0.6164069360689597 1.2328138721379194 355.248
0.19937105672354638 0.26582807563139516 147.952
0.2990565850853195 0.39874211344709265 218.94
0.39874211344709276 0.5316561512627903 284.614
0.4984276418088659 0.6645701890784877 315.571
0.7476414627132988 0.9968552836177318 409.374
0.9968552836177318 1.3291403781569755 469.287
0.229739670999407 0.229739670999407 183.534
0.3446095064991105 0.3446095064991105 259.613
0.459479341998814 0.459479341998814 315.302
0.5743491774985175 0.5743491774985175 354.095
0.8615237662477763 0.8615237662477763 454.36
1.148698354997035 1.148698354997035 506.618
0.12 0.12 56.4849 
0.2 0.2 157.206
0.3 0.3 232.7
0.4 0.4 290.056
0.5 0.5 345.207 
0.6 0.6 363.062
0.7 0.7 393.323
0.8 0.8 435.828
0.9 0.9 442.201
1.0 1.0 464.685
1.1 1.1 494.044
1.35 1.35 549.48
0.57 0.76 345.619
0.69 0.92 382.133
0.87 1.16 427.41
0.48 0.96 310.462
0.55 1.1 319.828
0.12 0.48 58.3328
0.13 1.3 77.2657
