# m1        m2     ISCO_orbital
0.18016866509721463 0.7206746603888586 122.239
0.24022488679628617 0.9608995471851449 164.138
0.30028110849535783 1.201124433981431 204.476
0.1643751829517226 0.3287503659034452 100.581
0.24656277442758384 0.49312554885516774 180.386
0.3287503659034452 0.6575007318068904 238.062
0.4109379573793065 0.8218759147586129 266.184
0.6164069360689597 1.2328138721379194 351.403
0.19937105672354638 0.26582807563139516 140.395
0.2990565850853195 0.39874211344709265 218.437
0.39874211344709276 0.5316561512627903 267.188
0.4984276418088659 0.6645701890784877 313.187
0.7476414627132988 0.9968552836177318 406.489
0.9968552836177318 1.3291403781569755 502.6
0.229739670999407 0.229739670999407 164.164
0.3446095064991105 0.3446095064991105 260.164
0.459479341998814 0.459479341998814 313.825
0.5743491774985175 0.5743491774985175 377.52
0.8615237662477763 0.8615237662477763 466.777
1.148698354997035 1.148698354997035 561.528
0.12 0.12 46.5585
0.2 0.2 140.097
0.3 0.3 222.287
0.4 0.4 289.806
0.5 0.5 334.175
0.6 0.6 373.026
0.7 0.7 414.517
0.8 0.8 446.518
0.9 0.9 478.073
1.0 1.0 507.943
1.1 1.1 537.469
1.35 1.35 627.896
0.57 0.76 342.103
0.69 0.92 387.763
0.87 1.16 454.655
0.48 0.96 310.587
0.55 1.1 326.583
0.12 0.48 46.864
0.13 1.3 58.8056
